date,value
1881-01-01,0.148
1882-01-01,-0.734
1883-01-01,-0.416
1884-01-01,-0.71
1885-01-01,-0.429
1886-01-01,-0.688
1887-01-01,-0.597
1888-01-01,-0.153
1889-01-01,-0.058
1890-01-01,-0.556
1891-01-01,-0.22
1892-01-01,-0.336
1893-01-01,-0.359
1894-01-01,-0.534
1895-01-01,-0.634
1896-01-01,-0.375
1897-01-01,-0.553
1898-01-01,-0.641
1899-01-01,-0.344
1900-01-01,-0.048
1901-01-01,0.307
1902-01-01,0.06
1903-01-01,-0.724
1904-01-01,-0.372
1905-01-01,-0.596
1906-01-01,-0.229
1907-01-01,-0.724
1908-01-01,-0.42
1909-01-01,0.193
1910-01-01,-0.618
1911-01-01,-0.949
1912-01-01,-0.511
1913-01-01,-0.795
1914-01-01,-0.427
1915-01-01,0.151
1916-01-01,-0.386
1917-01-01,-0.352
1918-01-01,-0.666
1919-01-01,0.096
1920-01-01,-0.456
1921-01-01,-0.628
1922-01-01,-0.053
1923-01-01,-0.214
1924-01-01,0.31
1925-01-01,-0.243
1926-01-01,-0.092
1927-01-01,-0.002
1928-01-01,0.047
1929-01-01,0.072
1930-01-01,0.017
1931-01-01,0.035
1932-01-01,-0.369
1933-01-01,-0.493
1934-01-01,-0.382
1935-01-01,0.085
1936-01-01,-0.123
1937-01-01,-0.228
1938-01-01,-0.403
1939-01-01,-0.25
1940-01-01,0.116
1941-01-01,0.081
1942-01-01,0.161
1943-01-01,-0.393
1944-01-01,0.078
1945-01-01,-0.244
1946-01-01,-0.244
1947-01-01,0.292
1948-01-01,-0.539
1949-01-01,-0.756
1950-01-01,-0.498
1951-01-01,0.329
1952-01-01,0.208
1953-01-01,0.003
1954-01-01,0.28
1955-01-01,-0.052
1956-01-01,-0.277
1957-01-01,-0.416
1958-01-01,0.348
1959-01-01,-0.649
1960-01-01,0.284
1961-01-01,-0.239
1962-01-01,0.509
1963-01-01,0.204
1964-01-01,-0.493
1965-01-01,0.025
1966-01-01,0.494
1967-01-01,-0.66
1968-01-01,-0.308
1969-01-01,0.407
1970-01-01,0.204
1971-01-01,-0.49
1972-01-01,-0.63
1973-01-01,0.243
1974-01-01,-0.136
1975-01-01,-0.552
1976-01-01,-0.268
1977-01-01,0.426
1978-01-01,0.196
1979-01-01,0.613
1980-01-01,0.399
1981-01-01,0.302
1982-01-01,-0.641
1983-01-01,-0.638
1984-01-01,-0.617
1985-01-01,-0.229
1986-01-01,-0.074
1987-01-01,0.585
1988-01-01,0.417
1989-01-01,-0.273
1990-01-01,0.408
1991-01-01,0.131
1992-01-01,-0.898
1993-01-01,0.091
1994-01-01,0.586
1995-01-01,0.233
1996-01-01,0.657
1997-01-01,0.068
1998-01-01,1.165
1999-01-01,1.176
2000-01-01,0.838
2001-01-01,0.968
2002-01-01,0.872
2003-01-01,1.1
2004-01-01,0.834
2005-01-01,0.749
2006-01-01,0.813
2007-01-01,0.926
2008-01-01,0.697
2009-01-01,1.138
2010-01-01,1.837
2011-01-01,0.743
2012-01-01,1.172
2013-01-01,0.846
2014-01-01,1.248
2015-01-01,1.557
2016-01-01,1.416
2017-01-01,1.564
2018-01-01,1.639
2019-01-01,1.485
2020-01-01,1.367
